Log(V),Log(j)
"0,3010299957","-2,017728767"
"0,6020599913","-1,640164518"
"0,7781512504","-1,364516253"
"0,903089987","-1,19859629"
1,"-1,043351421"
"1,176091259","-0,779891912"
"1,301029996","-0,5767541261"
"1,602059991","-0,08777794347"
